"dataset","field","units","description"
"phab","FC_LEDGES",NA,"Fish cover ledges (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_LEDGES_DD",NA,"percent fish cover by ledges in the drawdown zone"
"phab","FC_LIVETREES",NA,"Fish cover live trees (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_LIVETREES_DD",NA,"percent fish cover by live trees in the drawdown zone"
"phab","FC_OVERHANG",NA,"Fish cover overhanging vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_OVERHANG_DD",NA,"percent fish cover by overhanging veg in the drawdown zone"
"phab","FC_SNAGS",NA,"Fish cover woody debris/snags (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_SNAGS_DD",NA,"percent fish cover by snags in the drawdown zone"
"phab","FC_STRUCTURES",NA,"Fish cover human structures (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_STRUCTURES_DD",NA,"percent fish cover by human structures in the drawdown zone"
"phab","GC_BARE",NA,"Ground cover bare (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","GC_BARE_DD",NA,"percent ground uncovered in the drawdown zone"
"phab","GC_INUNDATED",NA,"Ground cover inundated vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","GC_INUNDATED_DD",NA,"percent ground cover by inundation in the drawdown zone"
"phab","GC_NONWOODY",NA,"Ground cover nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","GC_NONWOODY_DD",NA,"percent ground cover by nonwoody veg in the drawdown zone"
"phab","GC_WOODY",NA,"Ground cover woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","GC_WOODY_DD",NA,"percent ground cover by woody veg in the drawdown zone"
"phab","HI_BUILDINGS",NA,"Human influence buildings (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_BUILDINGS_DD",NA,"Human influence by buildings in the drawdown zone"
"phab","HI_COMMERCIAL",NA,"Human influence commercial(O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_COMMERCIAL_DD",NA,"Human influence by commercial use in the drawdown zone"
"phab","HI_CROPS",NA,"Human influence row crops (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_CROPS_DD",NA,"Human influence by row crops in the drawdown zone"
"phab","HI_DOCKS",NA,"Human influence docks(O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_DOCKS_DD",NA,"Human influence by docks in the drawdown zone"
"phab","HI_LANDFILL",NA,"Human influence landfill(O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_LANDFILL_DD",NA,"Human influence by landfill in the drawdown zone"
"phab","HI_LAWN",NA,"Human influence lawn (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_LAWN_DD",NA,"Human influence by lawn in the drawdown zone"
"phab","HI_ORCHARD",NA,"Human influence orchard (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_ORCHARD_DD",NA,"Human influence by orchards in the drawdown zone"
"phab","HI_OTHER",NA,"Human influence other (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_OTHER_DD",NA,"Human influence by other in the drawdown zone"
"phab","HI_PARK",NA,"Human influence park facilities (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_PARK_DD",NA,"Human influence by park in the drawdown zone"
"phab","HI_PASTURE",NA,"Human influence pasture (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_PASTURE_DD",NA,"Human influence by pasture in the drawdown zone"
"phab","HI_POWERLINES",NA,"Human influence powerlines(O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_POWERLINES_DD",NA,"Human influence by powerlines in the drawdown zone"
"phab","HI_ROADS",NA,"Human influence roads (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_ROADS_DD",NA,"Human influence by roads in the drawdown zone"
"phab","HI_WALLS",NA,"Human influence walls (O=non present/P=present outside plot/C=present w/i plot)"
"phab","HI_WALLS_DD",NA,"Human influence by walls in the drawdown zone"
"phab","HORIZ_DIST",NA,"Horizontal distance from waterline to high water mark (m)"
"phab","HORIZ_DIST_DD",NA,"Horizontal distance from waterline to high water mark"
"phab","HUMAN_DISTURBANCE",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Human Disturbance"
"phab","ISLAND",NA,"Station an island (X/blank)"
"phab","LATITUDE",NA,"Latitude at station"
"phab","LONGITUDE",NA,"Longitude at station"
"phab","MACRO_LAKEWARD",NA,"Do macrophytes extend lakeward (Y/N)"
"phab","NEW_STATION",NA,"New station code"
"phab","ODOR",NA,"Odor present"
"phab","ODOR_DESC",NA,"Description of odor"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","SHORELINE_FLOODING",NA,"Presence of Shoreling flooding"
"phab","SS_BEDROCK",NA,"percent cover by bedrock on shore 1-M zone"
"phab","SS_BOULDERS",NA,"percent cover by boulders on shore 1-M zone"
"phab","SS_COBBLE",NA,"percent cover by cobble on shore 1-M zone"
"phab","SS_GRAVEL",NA,"percent cover by gravel on shore 1-M zone"
"phab","SS_ORGANIC",NA,"percent cover by organic on shore 1-M zone"
"phab","SS_OTHER",NA,"percent cover by other on shore 1-M zone"
"phab","SS_SAND",NA,"percent cover by sand on shore 1-M zone"
"phab","SS_SILT",NA,"percent cover by silt on shore 1-M zone"
"phab","SS_WOOD",NA,"percent cover by woody on shore 1-M zone"
"phab","STATION",NA,"Station"
"phab","STATION_RELOCATED",NA,"Station relocated (Y/blank)"
"phab","SURFACE_FILM",NA,"Surface film type"
"phab","SURFACE_FILM_DESC",NA,"Surface file description"
"phab","U_NONWOODY",NA,"Understory - nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","U_NONWOODY_DD",NA,"percent understory cover by nonwoody veg in the drawdown zone"
"phab","U_WOODY",NA,"Understory woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","U_WOODY_DD",NA,"percent understory cover by woody veg in the drawdown zone"
"phab","UNABLE_TO_SAMPLE",NA,"Unable to sample site for physical habitat"
"phab","UNDERSTORY",NA,"Understory type"
"phab","UNDERSTORY_DD",NA,"Understory type in the draw down zone"
"phab","VERT_HEIGHT","m","Vertical height from waterline to high water mark (m)"
"phab","VERT_HEIGHT_DD","m","Vertical height from waterline to high water mark"
"phab","ODOR",NA,"Odor present"
"phab","ODOR_DESC",NA,"Description of odor"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","SUBSTRATE",NA,"Substrate Code"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","ODOR",NA,"Odor present"
"phab","ODOR_DESC",NA,"Description of odor"
"phab","ODOR",NA,"Odor present"
"phab","ODOR_DESC",NA,"Description of odor"
"phab","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"phab","SUBSTRATE",NA,"Substrate Code"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","DATE_COL",NA,"Date of sample collection"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","SITE_ID",NA,"Identification code for site"
"phab","VISIT_NO",NA,"Sequential number of visit to site"
"phab","FORM_TYPE",NA,"Form type"
"phab","PUBLICATION_DATE",NA,"Publication Date"
"phab","SAMPLE_TYPE",NA,"Sample type"
"phab","UID",NA,"Unique identifier for sampling event"
"phabmet","AMFCALL",NA,"Aquatic macrophytes: fractional cover of all macrophytes"
"phabmet","AMFCEMERGENT",NA,"Aquatic macrophytes: fractional cover of emergent macrophytes"
"phabmet","AMFCFLOATING",NA,"Aquatic macrophytes: fractional cover of floating macrophytes"
"phabmet","AMFCSUBMERGENT",NA,"Aquatic macrophytes: fractional cover of submergent macrophytes"
"phabmet","AMFPALL",NA,"Aquatic macrophytes: fractional presence of all macrophytes"
"phabmet","AMFPEMERGENT",NA,"Aquatic macrophytes: fractional presence of emergent macrophytes"
"phabmet","AMFPFLOATING",NA,"Aquatic macrophytes: fractional presence of floating macrophytes"
"phabmet","AMFPSUBMERGENT",NA,"Aquatic macrophytes: fractional presence of submergent macrophytes"
"phabmet","AMIDALL",NA,"Aquatic macrophytes: interdecimile cover of all macrophytes"
"phabmet","AMIQALL",NA,"Aquatic macrophytes: interquartile cover of all macrophytes"
"phabmet","AMITOTAL",NA,"Aquatic macrophytes: index of total cover of aquatic macrophytes"
"phabmet","AMNALL",NA,"Aquatic macrophytes: number of stations with Total cover data"
"phabmet","AMNEMERGENT",NA,"Aquatic macrophytes: number of stations with Emergent data"
"phabmet","AMNFLOATING",NA,"Aquatic macrophytes: number of stations with Floating data"
"phabmet","AMNSUBMERGENT",NA,"Aquatic macrophytes: number of stations with Submergent data"
"phabmet","AMVALL",NA,"Aquatic macrophytes: std dev. Cover of all macrophytes"
"phabmet","AMVEMERGENT",NA,"Aquatic macrophytes: std dev. Cover of Emergent macrophytes"
"phabmet","AMVFLOATING",NA,"Aquatic macrophytes: std dev. Cover of Floating macrophytes"
"phabmet","AMVSUBMERGENT",NA,"Aquatic macrophytes: std dev. Cover of Submergent macrophytes"
"phabmet","BFFFLAT",NA,"Bank features: fraction with flat banks"
"phabmet","BFFGRADUAL",NA,"Bank features: fraction with gradual banks"
"phabmet","BFFSTEEP",NA,"Bank features: fraction with steep banks"
"phabmet","BFFVERTICAL",NA,"Bank features: fraction with vertical banks"
"phabmet","BFNANGLE",NA,"Bank features: number of stations with bank angle data"
"phabmet","BFNHORIZDIST",NA,"Bank features: count of horizontal distance to highwater mark"
"phabmet","BFNHORIZDIST_DD",NA,"Bank features: count of horizontal distance to drawdown zone"
"phabmet","BFNVERTHEIGHT",NA,"Bank features: count of vertical height to highwater mark"
"phabmet","BFNVERTHEIGHT_DD",NA,"Bank features: count of vertical height to drawdown zone"
"phabmet","BFOANGLE",NA,"Bank features: bank angle mode"
"phabmet","BFXHORIZDIST",NA,"Bank features: horizontal distance to highwater mark"
"phabmet","BFXHORIZDIST_DD",NA,"Bank features: horizontal distance to drawdown zone"
"phabmet","BFXVERTHEIGHT",NA,"Bank features: vertical height to highwater mark"
"phabmet","BFXVERTHEIGHT_DD",NA,"Bank features: vertical height to drawdown zone"
"phabmet","BS16LDIA",NA,"Bottom substrate: 16th percentile of bottom substrate diameter"
"phabmet","BS25LDIA",NA,"Bottom substrate: 25th percentile of bottom substrate diameter"
"phabmet","BS50LDIA",NA,"Bottom substrate: 50th percentile of bottom substrate diameter"
"phabmet","BS75LDIA",NA,"Bottom substrate: 75th percentile of bottom substrate diameter"
"phabmet","BS84LDIA",NA,"Bottom substrate: 84th percentile of bottom substrate diameter"
"phabmet","BSFANOXIC",NA,"Bottom substrate: fraction with anoxic odor"
"phabmet","BSFBLACK",NA,"Bottom substrate: fraction of Black substrate"
"phabmet","BSFBROWN",NA,"Bottom substrate: fraction of Brown substrate"
"phabmet","BSFCBEDROCK",NA,"Bottom substrate: fractional cover of bedrock"
"phabmet","BSFCBOULDERS",NA,"Bottom substrate: fractional cover of Boulder"
"phabmet","BSFCCOBBLE",NA,"Bottom substrate: fractional cover of Cobble"
"phabmet","BSFCGRAVEL",NA,"Bottom substrate: fractional cover of gravel"
"phabmet","BSFCHEMICAL",NA,"Bottom substrate: fraction with chemical odor"
"phabmet","BSFCORGANIC",NA,"Bottom substrate: fractional cover of organic"
"phabmet","BSFCSAND",NA,"Bottom substrate: fractional cover of sand"
"phabmet","BSFCSILT",NA,"Bottom substrate: fractional cover of silt"
"phabmet","BSFCWOOD",NA,"Bottom substrate: fractional cover of wood"
"phabmet","BSFGRAY",NA,"Bottom substrate: fraction of Gray substrate"
"phabmet","BSFH2S",NA,"Bottom substrate: fraction with H2S odor"
"phabmet","BSFNONEODOR",NA,"Bottom substrate: fraction with no odor"
"phabmet","BSFOIL",NA,"Bottom substrate: fraction with oil odor"
"phabmet","BSFOTHERCOLOR",NA,"Bottom substrate: fraction of other color substrate"
"phabmet","BSFOTHERODOR",NA,"Bottom substrate: fraction with other odor"
"phabmet","BSFPBEDROCK",NA,"Bottom substrate: fractional presence of bedrock"
"phabmet","BSFPBOULDERS",NA,"Bottom substrate: fractional presence of Boulder"
"phabmet","BSFPCOBBLE",NA,"Bottom substrate: fractional presence of Cobble"
"phabmet","BSFPGRAVEL",NA,"Bottom substrate: fractional presence of gravel"
"phabmet","BSFPORGANIC",NA,"Bottom substrate: fractional presence of organic"
"phabmet","BSFPSAND",NA,"Bottom substrate: fractional presence of sand"
"phabmet","BSFPSILT",NA,"Bottom substrate: fractional presence of silt"
"phabmet","BSFPWOOD",NA,"Bottom substrate: fractional presence of wood"
"phabmet","BSFRED",NA,"Bottom substrate: fraction of Red substrate"
"phabmet","BSISITEVARIETY",NA,"Bottom substrate: Number of substrate classes present at a site"
"phabmet","BSISTAVARIETY",NA,"Bottom substrate: Mean number of substrate classes present in each station"
"phabmet","BSNBEDROCK",NA,"Bottom substrate: number of stations with bedrock data"
"phabmet","BSNBOULDERS",NA,"Bottom substrate: number of stations with boulder data"
"phabmet","BSNCOBBLE",NA,"Bottom substrate: number of stations with cobble data"
"phabmet","BSNCOLOR",NA,"Bottom substrate: number of bottom substrate color data"
"phabmet","BSNGRAVEL",NA,"Bottom substrate: number of stations with gravel data"
"phabmet","BSNODOR",NA,"Bottom substrate: number of stations with odor data"
"phabmet","BSNORGANIC",NA,"Bottom substrate: number of stations with organic data"
"phabmet","BSNSAND",NA,"Bottom substrate: number of stations with sand data"
"phabmet","BSNSILT",NA,"Bottom substrate: number of stations with silt data"
"phabmet","BSNWOOD",NA,"Bottom substrate: number of stations with wood data"
"phabmet","BSOCOLOR",NA,"Bottom substrate: mode of color"
"phabmet","BSOFCLASS",NA,"Bottom substrate: Mode of bottom substrate by cover"
"phabmet","BSOODOR",NA,"Bottom substrate: Mode of bottom substrate odor class"
"phabmet","BSOPCLASS",NA,"Bottom substrate: Mode of bottom substrate by presence"
"phabmet","BSVBEDROCK",NA,"Bottom substrate: std dev. cover of bedrock"
"phabmet","BSVBOULDERS",NA,"Bottom substrate: std dev. cover of boulders"
"phabmet","BSVCOBBLE",NA,"Bottom substrate: std dev. cover of cobble"
"phabmet","BSVGRAVEL",NA,"Bottom substrate: std dev. cover of gravel"
"phabmet","BSVLDIA",NA,"Bottom substrate: std dev. logged bottom substrate diameter (mineral)"
"phabmet","BSVORGANIC",NA,"Bottom substrate: std dev. cover of organic"
"phabmet","BSVSAND",NA,"Bottom substrate: std dev. cover of sand"
"phabmet","BSVSILT",NA,"Bottom substrate: std dev. cover of silt"
"phabmet","BSVWOOD",NA,"Bottom substrate: std dev. cover of wood class"
"phabmet","BSXLDIA",NA,"Bottom substrate: mean logged bottom substrate diameter (mineral)"
"phabmet","FCFCAQUATIC",NA,"Fish cover: fractional cover of aquatic vegetation"
"phabmet","FCFCAQUATIC_DD",NA,"Fish cover: fractional cover of aquatic vegetation in the drawdown zone"
"phabmet","FCFCAQUATIC_LIT",NA,"Fish cover: fractional cover of aquatic vegetation in the littoral zone"
"phabmet","FCFCAQUATIC_SIM",NA,"Fish cover: fractional cover of aquatic vegetation simulating 2007 protocol"
"phabmet","FCFCBOULDERS",NA,"Fish cover: fractional cover of boulders"
"phabmet","FCFCBOULDERS_DD",NA,"Fish cover: fractional cover of boulders in the drawdown zone"
"phabmet","FCFCBOULDERS_LIT",NA,"Fish cover: fractional cover of boulders in the littoral zone"
"phabmet","FCFCBOULDERS_SIM",NA,"Fish cover: fractional cover of boulders simulating 2007 protocol"
"phabmet","FCFCBRUSH",NA,"Fish cover: fractional cover of brush"
"phabmet","FCFCBRUSH_DD",NA,"Fish cover: fractional cover of brush in the drawdown zone"
"phabmet","FCFCBRUSH_LIT",NA,"Fish cover: fractional cover of brush in the littoral zone"
"phabmet","FCFCBRUSH_SIM",NA,"Fish cover: fractional cover of brush simulating 2007 protocol"
"phabmet","FCFCLEDGES",NA,"Fish cover: fractional cover of ledges"
"phabmet","FCFCLEDGES_DD",NA,"Fish cover: fractional cover of ledges in the drawdown zone"
"phabmet","FCFCLEDGES_LIT",NA,"Fish cover: fractional cover of ledges in the littoral zone"
"phabmet","FCFCLEDGES_SIM",NA,"Fish cover: fractional cover of ledges simulating 2007 protocol"
"phabmet","FCFCLIVETREES",NA,"Fish cover: fractional cover of live trees"
"phabmet","FCFCLIVETREES_DD",NA,"Fish cover: fractional cover of live trees in the drawdown zone"
"phabmet","FCFCLIVETREES_LIT",NA,"Fish cover: fractional cover of live trees in the littoral zone"
"phabmet","FCFCLIVETREES_SIM",NA,"Fish cover: fractional cover of live trees simulating 2007 protocol"
"phabmet","FCFCOVERHANG",NA,"Fish cover: fractional cover of overhangs"
"phabmet","FCFCOVERHANG_DD",NA,"Fish cover: fractional cover of overhangs in the drawdown zone"
"phabmet","FCFCOVERHANG_LIT",NA,"Fish cover: fractional cover of overhangs in the littoral zone"
"phabmet","FCFCOVERHANG_SIM",NA,"Fish cover: fractional cover of overhangs simulating 2007 protocol"
"phabmet","FCFCSNAG",NA,"Fish cover: fractional cover of snags"
"phabmet","FCFCSNAGS_DD",NA,"Fish cover: fractional cover of snags in the drawdown zone"
"phabmet","FCFCSNAGS_LIT",NA,"Fish cover: fractional cover of snags in the littoral zone"
"phabmet","FCFCSNAGS_SIM",NA,"Fish cover: fractional cover of snags simulating 2007 protocol"
"phabmet","FCFCSTRUCTURES",NA,"Fish cover: fractional cover of artificial structures"
"phabmet","FCFCSTRUCTURES_DD",NA,"Fish cover: fractional cover of artificial structures in the drawdown zone"
"phabmet","FCFCSTRUCTURES_LIT",NA,"Fish cover: fractional cover of artificial structures in the littoral zone"
"phabmet","FCFCSTRUCTURES_SIM",NA,"Fish cover: fractional cover of artificial structures simulating 2007 protocol"
"phabmet","FCFPALL",NA,"Fish cover: fractional presence of any fish cover"
"phabmet","FCFPALL_DD",NA,"Fish cover: fractional cover of any fish cover in the drawdown zone"
"phabmet","FCFPALL_LIT",NA,"Fish cover: fractional cover of any fish cover in the littoral zone"
"phabmet","FCFPALL_SIM",NA,"Fish cover: fractional cover of any fish cover simulating 2007 protocol"
"phabmet","FCFPAQUATIC",NA,"Fish cover: fractional presence of aquatic vegetation"
"phabmet","FCFPAQUATIC_DD",NA,"Fish cover: fractional presence of aquatic vegetation in the drawdown zone"
"phabmet","FCFPAQUATIC_LIT",NA,"Fish cover: fractional presence of aquatic vegetation in the littoral zone"
"phabmet","FCFPAQUATIC_SIM",NA,"Fish cover: fractional presence of aquatic vegetation simulating 2007 protocol"
"phabmet","FCFPBOULDERS",NA,"Fish cover: fractional presence of boulders"
"phabmet","FCFPBOULDERS_DD",NA,"Fish cover: fractional presence of boulders in the drawdown zone"
"phabmet","FCFPBOULDERS_LIT",NA,"Fish cover: fractional presence of boulders in the littoral zone"
"phabmet","FCFPBOULDERS_SIM",NA,"Fish cover: fractional presence of boulders simulating 2007 protocol"
"phabmet","FCFPBRUSH",NA,"Fish cover: fractional presence of brush"
"phabmet","FCFPBRUSH_DD",NA,"Fish cover: fractional presence of brush in the drawdown zone"
"phabmet","FCFPBRUSH_LIT",NA,"Fish cover: fractional presence of brush in the littoral zone"
"phabmet","FCFPBRUSH_SIM",NA,"Fish cover: fractional presence of brush simulating 2007 protocol"
"phabmet","FCFPLEDGES",NA,"Fish cover: fractional presence of ledges"
"phabmet","FCFPLEDGES_DD",NA,"Fish cover: fractional presence of ledges in the drawdown zone"
"phabmet","FCFPLEDGES_LIT",NA,"Fish cover: fractional presence of ledges in the littoral zone"
"phabmet","FCFPLEDGES_SIM",NA,"Fish cover: fractional presence of ledges simulating 2007 protocol"
"phabmet","FCFPLIVETREES",NA,"Fish cover: fractional presence of live trees"
"phabmet","FCFPLIVETREES_DD",NA,"Fish cover: fractional presence of live trees in the drawdown zone"
"phabmet","FCFPLIVETREES_LIT",NA,"Fish cover: fractional presence of live trees in the littoral zone"
"phabmet","FCFPLIVETREES_SIM",NA,"Fish cover: fractional presence of live trees simulating 2007 protocol"
"phabmet","FCFPOVERHANG",NA,"Fish cover: fractional presence of overhangs"
"phabmet","FCFPOVERHANG_DD",NA,"Fish cover: fractional presence of overhangs in the drawdown zone"
"phabmet","FCFPOVERHANG_LIT",NA,"Fish cover: fractional presence of overhangs in the littoral zone"
"phabmet","FCFPOVERHANG_SIM",NA,"Fish cover: fractional presence of overhangs simulating 2007 protocol"
"phabmet","FCFPSNAG",NA,"Fish cover: fractional presence of snags"
"phabmet","FCFPSNAGS_DD",NA,"Fish cover: fractional presence of snags in the drawdown zone"
"phabmet","FCFPSNAGS_LIT",NA,"Fish cover: fractional presence of snags in the littoral zone"
"phabmet","FCFPSNAGS_SIM",NA,"Fish cover: fractional presence of snags simulating 2007 protocol"
"phabmet","FCFPSTRUCTURES",NA,"Fish cover: fractional presence of artificial structures"
"phabmet","FCFPSTRUCTURES_DD",NA,"Fish cover: fractional presence of artificial structures in the drawdown zone"
"phabmet","FCFPSTRUCTURES_LIT",NA,"Fish cover: fractional presence of artificial structures in the littoral zone"
"phabmet","FCFPSTRUCTURES_SIM",NA,"Fish cover: fractional presence of artificial structures simulating 2007 protocol"
"phabmet","FCIALL",NA,"Fish cover: index of total fish cover"
"phabmet","FCIALL_DD",NA,"Fish cover: index of total fish cover in the drawdown zone"
"phabmet","FCIALL_LIT",NA,"Fish cover: index of total fish cover in the littoral zone"
"phabmet","FCIALL_SIM",NA,"Fish cover: index of total fish cover simulating 2007 protocol"
"phabmet","FCIBIG",NA,"Fish cover: index of fish cover due to large structures"
"phabmet","FCIBIG_DD",NA,"Fish cover: index of fish cover due to large structures in the drawdown zone"
"phabmet","FCIBIG_LIT",NA,"Fish cover: index of fish cover due to large structures in the littoral zone"
"phabmet","FCIBIG_SIM",NA,"Fish cover: index of fish cover due to large structures simulating 2007 protocol"
"phabmet","FCINATURAL",NA,"Fish cover: index of fish cover due to natural structures"
"phabmet","FCINATURAL_DD",NA,"Fish cover: index of fish cover due to natural structures in the drawdown zone"
"phabmet","FCINATURAL_LIT",NA,"Fish cover: index of fish cover due to natural structures in the littoral zone"
"phabmet","FCINATURAL_SIM",NA,"Fish cover: index of fish cover due to natural structures simulating 2007 protocol"
"phabmet","FCIRIPVEG",NA,"Fish cover: index of fish cover due to riparian vegetation"
"phabmet","FCIRIPVEG_DD",NA,"Fish cover: index of fish cover due to riparian vegetation in the drawdown zone"
"phabmet","FCIRIPVEG_LIT",NA,"Fish cover: index of fish cover due to riparian vegetation in the littoral zone"
"phabmet","FCIRIPVEG_SIM",NA,"Fish cover: index of fish cover due to riparian vegetation simulating 2007 protocol"
"phabmet","FCNALL",NA,"Fish cover: number of fish cover data"
"phabmet","FCNALL_DD",NA,"Fish cover: number of fish cover values in the drawdown"
"phabmet","FCNALL_LIT",NA,"Fish cover: number of fish cover values in the littoral zone"
"phabmet","FCNALL_SIM",NA,"Fish cover: number of fish cover data simulating the 2007 protocol"
"phabmet","FCNAQUATIC",NA,"Fish cover: number of aquatic vegetation"
"phabmet","FCNAQUATIC_DD",NA,"Fish cover: number of aquatic vegetation values in the drawdown"
"phabmet","FCNAQUATIC_LIT",NA,"Fish cover: number of aquatic vegetation values in the littoral zone"
"phabmet","FCNAQUATIC_SIM",NA,"Fish cover: number of aquatic vegetation data simulating the 2007 protocol"
"phabmet","FCNBOULDERS",NA,"Fish cover: number of boulders"
"phabmet","FCNBOULDERS_DD",NA,"Fish cover: number of boulders values in the drawdown"
"phabmet","FCNBOULDERS_LIT",NA,"Fish cover: number of boulders values in the littoral zone"
"phabmet","FCNBOULDERS_SIM",NA,"Fish cover: number of boulders data simulating the 2007 protocol"
"phabmet","FCNBRUSH",NA,"Fish cover: number of brush"
"phabmet","FCNBRUSH_DD",NA,"Fish cover: number of brush values in the drawdown"
"phabmet","FCNBRUSH_LIT",NA,"Fish cover: number of brush values in the littoral zone"
"phabmet","FCNBRUSH_SIM",NA,"Fish cover: number of brush data simulating the 2007 protocol"
"phabmet","FCNLEDGES",NA,"Fish cover: number of ledges"
"phabmet","FCNLEDGES_DD",NA,"Fish cover: number of ledges values in the drawdown"
"phabmet","FCNLEDGES_LIT",NA,"Fish cover: number of ledges values in the littoral zone"
"phabmet","FCNLEDGES_SIM",NA,"Fish cover: number of ledges data simulating the 2007 protocol"
"phabmet","FCNLIVETREES",NA,"Fish cover: number of live trees"
"phabmet","FCNLIVETREES_DD",NA,"Fish cover: number of live trees values in the drawdown"
"phabmet","FCNLIVETREES_LIT",NA,"Fish cover: number of live trees values in the littoral zone"
"phabmet","FCNLIVETREES_SIM",NA,"Fish cover: number of live trees data simulating the 2007 protocol"
"phabmet","FCNOVERHANG",NA,"Fish cover: number of overhangs"
"phabmet","FCNOVERHANG_DD",NA,"Fish cover: number of overhangs values in the drawdown"
"phabmet","FCNOVERHANG_LIT",NA,"Fish cover: number of overhangs values in the littoral zone"
"phabmet","FCNOVERHANG_SIM",NA,"Fish cover: number of overhangs data simulating the 2007 protocol"
"phabmet","FCNSNAG",NA,"Fish cover: number of snags"
"phabmet","FCNSNAGS_DD",NA,"Fish cover: number of snags values in the drawdown"
"phabmet","FCNSNAGS_LIT",NA,"Fish cover: number of snags values in the littoral zone"
"phabmet","FCNSNAGS_SIM",NA,"Fish cover: number of snags data simulating the 2007 protocol"
"phabmet","FCNSTRUCTURES",NA,"Fish cover: number of artificial structures"
"phabmet","FCNSTRUCTURES_DD",NA,"Fish cover: number of artificial structures values in the drawdown"
"phabmet","FCNSTRUCTURES_LIT",NA,"Fish cover: number of artificial structures values in the littoral zone"
"phabmet","FCNSTRUCTURES_SIM",NA,"Fish cover: number of artificial structures data simulating the 2007 protocol"
"phabmet","FCVAQUATIC",NA,"Fish cover: std dev. of aquatic vegetation"
"phabmet","FCVAQUATIC_DD",NA,"Fish cover: std dev. of aquatic vegetation in the drawdown zone"
"phabmet","FCVAQUATIC_LIT",NA,"Fish cover: std dev. of aquatic vegetation in the littoral zone"
"phabmet","FCVAQUATIC_SIM",NA,"Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol"
"phabmet","FCVBOULDERS",NA,"Fish cover: std dev. of boulders"
"phabmet","FCVBOULDERS_DD",NA,"Fish cover: std dev. of boulders in the drawdown zone"
"phabmet","FCVBOULDERS_LIT",NA,"Fish cover: std dev. of boulders in the littoral zone"
"phabmet","FCVBOULDERS_SIM",NA,"Fish cover: std dev. of boulders simulating the 2007 protocol"
"phabmet","FCVBRUSH",NA,"Fish cover: std dev. of brush"
"phabmet","FCVBRUSH_DD",NA,"Fish cover: std dev. of brush in the drawdown zone"
"phabmet","FCVBRUSH_LIT",NA,"Fish cover: std dev. of aquatic vegetation in the littoral zone"
"phabmet","FCVBRUSH_SIM",NA,"Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol"
"phabmet","FCVLEDGES",NA,"Fish cover: std dev. of ledges"
"phabmet","FCVLEDGES_DD",NA,"Fish cover: std dev. of ledges in the drawdown zone"
"phabmet","FCVLEDGES_LIT",NA,"Fish cover: std dev. of ledges in the littoral zone"
"phabmet","FCVLEDGES_SIM",NA,"Fish cover: std dev. of ledges simulating the 2007 protocol"
"phabmet","FCVLIVETREES",NA,"Fish cover: std dev. of live trees"
