"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","AMPHNIND","AMPHNTAX","AMPHPIND","AMPHPTAX","BURRNIND","BURRNTAX","BURRPIND","BURRPTAX","CHIRDOM1PIND","CHIRDOM3PIND","CHIRDOM5PIND","CHIRNIND","CHIRNTAX","CHIRPIND","CHIRPTAX","CLMBNIND","CLMBNTAX","CLMBPIND","CLMBPTAX","CLNGNIND","CLNGNTAX","CLNGPIND","CLNGPTAX","COFININD","COFINTAX","COFIPIND","COFIPTAX","COFITRICNIND","COFITRICNTAX","COFITRICPIND","COFITRICPTAX","COGANIND","COGANTAX","COGAPIND","COGAPTAX","CRUSNIND","CRUSNTAX","CRUSPIND","CRUSPTAX","DIPTNIND","DIPTNTAX","DIPTPIND","DIPTPTAX","DOM1PIND","DOM3PIND","DOM5PIND","EPHENIND","EPHENTAX","EPHEPIND","EPHEPTAX","EPOTNIND","EPOTNTAX","EPOTPIND","EPOTPTAX","EPT_NIND","EPT_NTAX","EPT_PIND","EPT_PTAX","FACLNIND","FACLNTAX","FACLPIND","FACLPTAX","HEMININD","HEMINTAX","HEMIPIND","HEMIPTAX","HPRIME","INTLNIND","INTLNTAX","INTLPIND","INTLPTAX","MITENIND","MITENTAX","MITEPIND","MITEPTAX","MOLLNIND","MOLLNTAX","MOLLPIND","MOLLPTAX","NOINNIND","NOINNTAX","NOINPIND","NOINPTAX","NTOLNIND","NTOLNTAX","NTOLPIND","NTOLPTAX","ODONNIND","ODONNTAX","ODONPIND","ODONPTAX","OLLENIND","OLLENTAX","OLLEPIND","OLLEPTAX","ORTHCHIRPIND","ORTHNIND","ORTHNTAX","ORTHPIND","ORTHPTAX","PLECNIND","PLECNTAX","PLECPIND","PLECPTAX","PREDNIND","PREDNTAX","PREDPIND","PREDPTAX","SCRPNIND","SCRPNTAX","SCRPPIND","SCRPPTAX","SHRDNIND","SHRDNTAX","SHRDPIND","SHRDPTAX","SPWLNIND","SPWLNTAX","SPWLPIND","SPWLPTAX","STOLNIND","STOLNTAX","STOLPIND","STOLPTAX","SWIMNIND","SWIMNTAX","SWIMPIND","SWIMPTAX","TANYNIND","TANYNTAX","TANYPIND","TANYPTAX","TL01NIND","TL01NTAX","TL01PIND","TL01PTAX","TL23NIND","TL23NTAX","TL23PIND","TL23PTAX","TL45NIND","TL45NTAX","TL45PIND","TL45PTAX","TL67NIND","TL67NTAX","TL67PIND","TL67PTAX","TL89NIND","TL89NTAX","TL89PIND","TL89PTAX","TOLRNIND","TOLRNTAX","TOLRPIND","TOLRPTAX","TOTLNIND","TOTLNTAX","TRICNIND","TRICNTAX","TRICPIND","TRICPTAX","TUBINAIDNIND","TUBINAIDNTAX","TUBINAIDPIND","TUBINAIDPTAX","WTD_TV"
2008182,"NLA06608-1167",2007,1,"9/20/2007","UMW","PLNLOW","UMW",163,2,54.33,6.45,16,6,5.33,19.35,26.09,60.87,82.61,25,9,8.33,29.03,66,9,22,29.03,19,6,6.33,19.35,13,5,4.33,16.13,0,0,0,0,211,11,70.33,35.48,163,2,54.33,6.45,26,10,8.67,32.26,47.64,68.92,78.72,34,3,11.33,9.68,41,7,13.67,22.58,40,6,13.33,19.35,119,15,39.67,48.39,0,0,0,0,2.08,4,1,1.33,3.23,4,2,1.33,6.45,61,8,20.33,25.81,233,14,77.67,45.16,87,9,29,29.03,1,1,0.33,3.23,5,2,1.67,6.45,0,0,0,0,0,0,0,0,0,17,9,5.67,29.03,56,6,18.67,19.35,170,4,56.67,12.9,197,9,65.67,29.03,22,6,7.33,19.35,11,4,3.67,12.9,4,1,1.33,3.23,0,0,0,0,4,1,1.33,3.23,83,8,27.67,25.81,186,12,62,38.71,22,6,7.33,19.35,172,11,57.33,35.48,300,31,6,3,2,9.68,4,1,1.33,3.23,6.58
2008183,"NLA06608-1170",2007,1,"7/18/2007","WMTNS","WMTNS","WMT",26,1,8.67,7.69,166,3,55.33,23.08,83.33,95.24,100,42,4,14,30.77,5,1,1.67,7.69,65,2,21.67,15.38,35,1,11.67,7.69,0,0,0,0,248,6,82.67,46.15,52,2,17.33,15.38,42,4,14,30.77,26.69,56.78,80.51,36,1,12,7.69,36,1,12,7.69,36,1,12,7.69,64,3,21.33,23.08,0,0,0,0,2.03,35,1,11.67,7.69,12,3,4,23.08,0,0,0,0,222,8,74,61.54,73,3,24.33,23.08,0,0,0,0,158,3,52.67,23.08,0,0,0,0,0,0,0,0,0,17,6,5.67,46.15,0,0,0,0,26,1,8.67,7.69,57,5,19,38.46,175,8,58.33,61.54,7,2,2.33,15.38,35,1,11.67,7.69,0,0,0,0,35,1,11.67,7.69,38,2,12.67,15.38,52,2,17.33,15.38,175,8,58.33,61.54,201,9,67,69.23,300,13,0,0,0,0,157,2,52.33,15.38,7.07
2008184,"NLA06608-1172",2007,1,"6/27/2007","EHIGH","EHIGH","SAP",44,2,14.67,6.06,137,9,45.67,27.27,33.71,70.79,84.27,89,15,29.67,45.45,28,8,9.33,24.24,36,5,12,15.15,61,3,20.33,9.09,0,0,0,0,121,16,40.33,48.48,45,3,15,9.09,103,17,34.33,51.52,16.67,41.67,59.06,0,0,0,0,32,6,10.67,18.18,25,3,8.33,9.09,92,16,30.67,48.48,0,0,0,0,2.79,3,1,1,3.03,15,4,5,12.12,58,2,19.33,6.06,165,10,55,30.3,62,11,20.67,33.33,7,3,2.33,9.09,46,1,15.33,3.03,4.49,4,2,1.33,6.06,0,0,0,0,122,16,40.67,48.48,9,2,3,6.06,46,3,15.33,9.09,131,14,43.67,42.42,157,11,52.33,33.33,2,1,0.67,3.03,3,1,1,3.03,0,0,0,0,3,1,1,3.03,59,10,19.67,30.3,81,11,27,33.33,157,11,52.33,33.33,205,16,68.33,48.48,300,33,25,3,8.33,9.09,46,1,15.33,3.03,7.22
2008185,"NLA06608-1174",2007,1,"8/15/2007","EHIGH","EHIGH","NAP",10,1,3.33,1.89,66,10,22,18.87,21.15,46.15,61.54,107,21,35.67,39.62,86,11,28.67,20.75,49,10,16.33,18.87,41,4,13.67,7.55,0,0,0,0,207,29,69,54.72,10,1,3.33,1.89,109,22,36.33,41.51,12.09,30.04,44.32,24,7,8,13.21,42,14,14,26.42,41,13,13.67,24.53,103,19,34.33,35.85,0,0,0,0,3.34,58,10,19.33,18.87,9,6,3,11.32,33,3,11,5.66,149,17,49.67,32.08,114,22,38,41.51,1,1,0.33,1.89,96,7,32,13.21,14.95,16,5,5.33,9.43,1,1,0.33,1.89,38,17,12.67,32.08,28,2,9.33,3.77,25,7,8.33,13.21,63,16,21,30.19,74,10,24.67,18.87,13,5,4.33,9.43,67,6,22.33,11.32,8,2,2.67,3.77,58,10,19.33,18.87,48,10,16,18.87,77,15,25.67,28.3,74,10,24.67,18.87,104,18,34.67,33.96,300,53,16,5,5.33,9.43,96,7,32,13.21,5.07
2008186,"NLA06608-1175",2007,1,"8/21/2007","UMW","PLNLOW","UMW",105,1,35,2.44,55,10,18.33,24.39,36.84,65.79,81.58,38,11,12.67,26.83,27,9,9,21.95,16,3,5.33,7.32,12,3,4,7.32,4,1,1.33,2.44,196,18,65.33,43.9,105,1,35,2.44,52,14,17.33,34.15,38.46,56.04,64.47,28,2,9.33,4.88,69,7,23,17.07,60,5,20,12.2,114,21,38,51.22,10,2,3.33,4.88,2.62,8,2,2.67,4.88,14,5,4.67,12.2,4,2,1.33,4.88,166,16,55.33,39.02,80,17,26.67,41.46,9,2,3,4.88,33,6,11,14.63,5.26,2,2,0.67,4.88,0,0,0,0,65,14,21.67,34.15,4,2,1.33,4.88,137,6,45.67,14.63,165,13,55,31.71,52,12,17.33,29.27,39,5,13,12.2,8,2,2.67,4.88,0,0,0,0,11,3,3.67,7.32,69,14,23,34.15,158,10,52.67,24.39,52,12,17.33,29.27,168,16,56,39.02,300,41,32,3,10.67,7.32,27,5,9,12.2,6.35
2008187,"NLA06608-1177",2007,1,"6/28/2007","CPL","PLNLOW","CPL",88,1,29.33,2.22,97,15,32.33,33.33,12.07,34.48,48.28,60,19,20,42.22,43,11,14.33,24.44,29,7,9.67,15.56,34,4,11.33,8.89,0,0,0,0,205,21,68.33,46.67,88,1,29.33,2.22,76,21,25.33,46.67,35.34,47.79,57.03,15,2,5,4.44,44,7,14.67,15.56,23,4,7.67,8.89,85,19,28.33,42.22,0,0,0,0,2.85,5,2,1.67,4.44,15,7,5,15.56,18,2,6,4.44,179,16,59.67,35.56,50,14,16.67,31.11,21,3,7,6.67,57,6,19,13.33,1.67,1,1,0.33,2.22,0,0,0,0,77,19,25.67,42.22,1,1,0.33,2.22,99,4,33,8.89,142,13,47.33,28.89,97,17,32.33,37.78,7,3,2.33,6.67,16,4,5.33,8.89,0,0,0,0,8,4,2.67,8.89,42,10,14,22.22,148,10,49.33,22.22,97,17,32.33,37.78,205,20,68.33,44.44,300,45,8,2,2.67,4.44,57,6,19,13.33,7.03
2008188,"NLA06608-1179",2007,1,"8/1/2007","PLAINS","PLNLOW","TPL",0,0,0,0,2,1,13.33,12.5,28.57,85.71,100,7,4,46.67,50,6,2,40,25,1,1,6.67,12.5,0,0,0,0,0,0,0,0,3,2,20,25,0,0,0,0,7,4,46.67,50,33.33,60,80,0,0,0,0,0,0,0,0,0,0,0,0,6,4,40,50,0,0,0,0,1.89,0,0,0,0,0,0,0,0,6,2,40,25,7,3,46.67,37.5,6,4,40,50,0,0,0,0,1,1,6.67,12.5,0,0,0,0,0,0,0,0,0,6,4,40,50,7,3,46.67,37.5,0,0,0,0,6,4,40,50,2,2,13.33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,40,50,7,2,46.67,25,2,2,13.33,25,9,4,60,50,15,8,0,0,0,0,0,0,0,0,6.51
2008189,"NLA06608-1181",2007,1,"6/26/2007","EHIGH","EHIGH","SAP",220,1,73.33,4.76,15,6,5,28.57,42.86,71.43,85.71,28,9,9.33,42.86,9,5,3,23.81,3,2,1,9.52,1,1,0.33,4.76,0,0,0,0,246,8,82,38.1,220,1,73.33,4.76,31,10,10.33,47.62,74.83,82.65,88.78,12,2,4,9.52,12,2,4,9.52,12,2,4,9.52,28,8,9.33,38.1,0,0,0,0,1.22,1,1,0.33,4.76,18,5,6,23.81,0,0,0,0,250,8,83.33,38.1,15,7,5,33.33,0,0,0,0,11,2,3.67,9.52,0,0,0,0,0,0,0,0,0,54,12,18,57.14,0,0,0,0,222,2,74,9.52,259,8,86.33,38.1,41,8,13.67,38.1,3,1,1,4.76,6,2,2,9.52,0,0,0,0,1,1,0.33,4.76,14,6,4.67,28.57,237,5,79,23.81,41,8,13.67,38.1,264,11,88,52.38,300,21,0,0,0,0,0,0,0,0,7.23
2008190,"NLA06608-1183",2007,1,"8/29/2007","WMTNS","WMTNS","WMT",20,1,6.67,4.35,81,5,27,21.74,37.99,78.21,91.06,180,11,60,47.83,10,3,3.33,13.04,96,5,32,21.74,90,4,30,17.39,1,1,0.33,4.35,135,13,45,56.52,20,1,6.67,4.35,182,12,60.67,52.17,26.77,55.12,70.08,0,0,0,0,2,2,0.67,8.7,2,2,0.67,8.7,33,10,11,43.48,0,0,0,0,2.39,20,1,6.67,4.35,9,2,3,8.7,63,1,21,4.35,115,8,38.33,34.78,40,6,13.33,26.09,0,0,0,0,23,4,7.67,17.39,10,18,4,6,17.39,0,0,0,0,77,7,25.67,30.43,0,0,0,0,32,3,10.67,13.04,101,8,33.67,34.78,137,7,45.67,30.43,1,1,0.33,4.35,88,2,29.33,8.7,0,0,0,0,25,3,8.33,13.04,15,3,5,13.04,113,9,37.67,39.13,137,7,45.67,30.43,237,11,79,47.83,300,23,2,2,0.67,8.7,17,2,5.67,8.7,6.96
2008191,"NLA06608-1185",2007,1,"8/16/2007","CPL","PLNLOW","CPL",1,1,0.67,4,54,8,36,32,25.97,70.13,84.42,79,10,52.67,40,23,5,15.33,20,26,3,17.33,12,23,3,15.33,12,0,0,0,0,54,11,36,44,7,2,4.67,8,81,12,54,48,14.71,39.71,61.03,12,1,8,4,25,4,16.67,16,13,2,8.67,8,50,9,33.33,36,0,0,0,0,2.69,34,2,22.67,8,0,0,0,0,32,4,21.33,16,44,9,29.33,36,41,4,27.33,16,12,2,8,8,5,3,3.33,12,0,0,0,0,0,0,0,0,0,37,8,24.67,32,15,3,10,12,12,3,8,12,27,10,18,40,26,8,17.33,32,0,0,0,0,18,2,12,8,17,1,11.33,4,17,1,11.33,4,7,2,4.67,8,62,11,41.33,44,26,8,17.33,32,45,12,30,48,150,25,1,1,0.67,4,5,3,3.33,12,4.81
2008192,"NLA06608-1189",2007,1,"9/21/2007","EHIGH","EHIGH","NAP",148,2,49.33,5.88,41,6,13.67,17.65,25.49,58.82,78.43,51,13,17,38.24,59,9,19.67,26.47,43,10,14.33,29.41,5,3,1.67,8.82,2,1,0.67,2.94,233,18,77.67,52.94,152,3,50.67,8.82,60,14,20,41.18,50.17,62.54,70.1,9,3,3,8.82,41,9,13.67,26.47,41,9,13.67,26.47,101,19,33.67,55.88,0,0,0,0,2.22,7,5,2.33,14.71,9,3,3,8.82,28,2,9.33,5.88,191,10,63.67,29.41,63,19,21,55.88,0,0,0,0,1,1,0.33,2.94,17.65,9,3,3,8.82,0,0,0,0,36,11,12,32.35,39,5,13,14.71,154,6,51.33,17.65,192,14,64,41.18,38,7,12.67,20.59,2,1,0.67,2.94,12,3,4,8.82,0,0,0,0,12,7,4,20.59,51,12,17,35.29,199,8,66.33,23.53,38,7,12.67,20.59,192,10,64,29.41,300,34,32,6,10.67,17.65,1,1,0.33,2.94,6.71
2008193,"NLA06608-1190",2007,1,"6/25/2007","WMTNS","WMTNS","WMT",2,1,0.67,2.94,156,11,52,32.35,19.42,53.96,71.94,139,16,46.33,47.06,33,8,11,23.53,69,6,23,17.65,48,4,16,11.76,2,1,0.67,2.94,208,20,69.33,58.82,2,1,0.67,2.94,146,17,48.67,50,20.61,40.84,54.58,5,2,1.67,5.88,17,6,5.67,17.65,11,4,3.67,11.76,62,16,20.67,47.06,0,0,0,0,2.88,22,1,7.33,2.94,15,2,5,5.88,9,2,3,5.88,137,11,45.67,32.35,39,10,13,29.41,6,2,2,5.88,111,6,37,17.65,4.32,6,2,2,5.88,0,0,0,0,38,9,12.67,26.47,9,2,3,5.88,36,6,12,17.65,32,9,10.67,26.47,173,11,57.67,32.35,14,1,4.67,2.94,58,3,19.33,8.82,0,0,0,0,25,2,8.33,5.88,14,8,4.67,23.53,88,13,29.33,38.24,173,11,57.67,32.35,216,17,72,50,300,34,6,2,2,5.88,111,6,37,17.65,7.46
2008194,"NLA06608-1191",2007,1,"8/6/2007","PLAINS","PLNLOW","SPL",141,1,47,3.33,56,7,18.67,23.33,52.94,82.35,94.12,17,6,5.67,20,17,7,5.67,23.33,16,4,5.33,13.33,3,3,1,10,0,0,0,0,242,12,80.67,40,141,1,47,3.33,23,8,7.67,26.67,53.61,69.2,78.33,24,1,8,3.33,43,3,14.33,10,41,2,13.67,6.67,66,8,22,26.67,0,0,0,0,1.98,4,2,1.33,6.67,18,8,6,26.67,5,2,1.67,6.67,232,18,77.33,60,23,4,7.67,13.33,2,1,0.67,3.33,66,6,22,20,0,0,0,0,0,0,0,0,0,37,13,12.33,43.33,4,1,1.33,3.33,158,2,52.67,6.67,187,6,62.33,20,79,15,26.33,50,26,6,8.67,20,1,1,0.33,3.33,3,1,1,3.33,1,1,0.33,3.33,19,2,6.33,6.67,189,8,63,26.67,79,15,26.33,50,221,17,73.67,56.67,300,30,17,1,5.67,3.33,66,6,22,20,7.02
2008195,"NLA06608-1195",2007,1,"7/2/2007","PLAINS","PLNLOW","TPL",244,2,81.33,11.76,4,3,1.33,17.65,25,62.5,87.5,8,6,2.67,35.29,6,3,2,17.65,4,2,1.33,11.76,0,0,0,0,0,0,0,0,275,7,91.67,41.18,266,4,88.67,23.53,8,6,2.67,35.29,81.27,91.97,94.98,6,1,2,5.88,8,2,2.67,11.76,8,2,2.67,11.76,14,7,4.67,41.18,0,0,0,0,0.87,0,0,0,0,3,1,1,5.88,1,1,0.33,5.88,283,8,94.33,47.06,7,5,2.33,29.41,0,0,0,0,12,2,4,11.76,0,0,0,0,0,0,0,0,0,22,8,7.33,47.06,1,1,0.33,5.88,245,2,81.67,11.76,289,11,96.33,64.71,41,7,13.67,41.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2.33,29.41,252,5,84,29.41,41,7,13.67,41.18,286,10,95.33,58.82,300,17,2,1,0.67,5.88,0,0,0,0,7.51
2008196,"NLA06608-1198",2007,1,"7/25/2007","UMW","PLNLOW","UMW",24,1,8,2.56,20,7,6.67,17.95,22.37,55.26,73.68,79,16,26.33,41.03,185,14,61.67,35.9,28,7,9.33,17.95,42,6,14,15.38,0,0,0,0,72,12,24,30.77,24,1,8,2.56,79,16,26.33,41.03,40.55,54.64,64.26,10,3,3.33,7.69,28,6,9.33,15.38,14,4,4.67,10.26,187,18,62.33,46.15,0,0,0,0,2.55,17,1,5.67,2.56,5,4,1.67,10.26,155,8,51.67,20.51,193,17,64.33,43.59,160,13,53.33,33.33,14,2,4.67,5.13,7,3,2.33,7.69,2.53,2,1,0.67,2.56,0,0,0,0,46,13,15.33,33.33,150,7,50,17.95,33,5,11,12.82,60,10,20,25.64,33,11,11,28.21,4,2,1.33,5.13,32,2,10.67,5.13,0,0,0,0,27,4,9,10.26,133,9,44.33,23.08,93,13,31,33.33,33,11,11,28.21,82,18,27.33,46.15,300,39,4,1,1.33,2.56,6,2,2,5.13,5.64
2008197,"NLA06608-1199",2007,1,"8/15/2007","PLAINS","PLNLOW","TPL",11,1,3.67,2.38,67,11,22.33,26.19,30.07,54.55,72.73,145,18,48.33,42.86,92,11,30.67,26.19,64,7,21.33,16.67,63,4,21,9.52,0,0,0,0,134,17,44.67,40.48,11,1,3.67,2.38,172,21,57.33,50,14.63,38.44,52.04,32,2,10.67,4.76,81,9,27,21.43,39,5,13,11.9,142,20,47.33,47.62,1,1,0.33,2.38,2.96,43,1,14.33,2.38,26,6,8.67,14.29,2,2,0.67,4.76,46,11,15.33,26.19,107,15,35.67,35.71,42,4,14,9.52,7,2,2.33,4.76,1.38,2,2,0.67,4.76,0,0,0,0,132,21,44,50,5,2,1.67,4.76,22,4,7.33,9.52,101,14,33.67,33.33,55,14,18.33,33.33,3,2,1,4.76,77,4,25.67,9.52,0,0,0,0,46,3,15.33,7.14,61,12,20.33,28.57,136,11,45.33,26.19,55,14,18.33,33.33,113,19,37.67,45.24,300,42,7,3,2.33,7.14,6,1,2,2.38,5.88
2008198,"NLA06608-1204",2007,1,"8/28/2007","EHIGH","EHIGH","SAP",3,1,1,4.17,257,6,85.67,25,20,53.33,80,16,8,5.33,33.33,1,1,0.33,4.17,11,7,3.67,29.17,5,3,1.67,12.5,0,0,0,0,278,12,92.67,50,3,1,1,4.17,16,8,5.33,33.33,47.33,70,78.67,13,3,4.33,12.5,14,4,4.67,16.67,14,4,4.67,16.67,24,9,8,37.5,0,0,0,0,2.04,2,2,0.67,8.33,2,1,0.67,4.17,5,3,1.67,12.5,270,12,90,50,10,7,3.33,29.17,0,0,0,0,255,6,85,25,31.25,5,2,1.67,8.33,0,0,0,0,8,4,2.67,16.67,4,3,1.33,12.5,8,3,2.67,12.5,16,4,5.33,16.67,261,8,87,33.33,2,1,0.67,4.17,1,1,0.33,4.17,0,0,0,0,4,3,1.33,12.5,6,4,2,16.67,22,6,7.33,25,261,8,87,33.33,267,10,89,41.67,300,24,1,1,0.33,4.17,255,6,85,25,8.29
2008199,"NLA06608-1206",2007,1,"8/2/2007","UMW","PLNLOW","UMW",4,1,1.33,1.96,69,12,23,23.53,23.77,48.36,62.3,122,24,40.67,47.06,39,9,13,17.65,64,8,21.33,15.69,41,6,13.67,11.76,2,1,0.67,1.96,189,26,63,50.98,4,1,1.33,1.96,131,26,43.67,50.98,24.91,42.49,51.28,68,1,22.67,1.96,79,7,26.33,13.73,75,4,25,7.84,158,22,52.67,43.14,0,0,0,0,3.12,36,3,12,5.88,11,5,3.67,9.8,14,2,4.67,3.92,90,18,30,35.29,93,16,31,31.37,4,3,1.33,5.88,61,10,20.33,19.61,10.66,13,4,4.33,7.84,0,0,0,0,52,19,17.33,37.25,10,2,3.33,3.92,34,5,11.33,9.8,117,16,39,31.37,72,15,24,29.41,19,4,6.33,7.84,36,4,12,7.84,0,0,0,0,36,3,12,5.88,57,13,19,25.49,130,16,43.33,31.37,72,15,24,29.41,101,22,33.67,43.14,300,51,7,3,2.33,5.88,52,7,17.33,13.73,6.09
2008200,"NLA06608-1207",2007,1,"7/26/2007","UMW","PLNLOW","UMW",24,1,8,2.38,87,10,29,23.81,22.73,42.21,57.79,162,21,54,50,70,10,23.33,23.81,40,7,13.33,16.67,53,2,17.67,4.76,0,0,0,0,207,20,69,47.62,24,1,8,2.38,206,22,68.67,52.38,15.55,37.1,51.24,30,4,10,9.52,38,8,12.67,19.05,34,7,11.33,16.67,185,22,61.67,52.38,0,0,0,0,3.03,25,3,8.33,7.14,13,5,4.33,11.9,6,2,2,4.76,54,11,18,26.19,89,19,29.67,45.24,4,1,1.33,2.38,11,3,3.67,7.14,9.26,15,2,5,4.76,0,0,0,0,99,16,33,38.1,9,4,3,9.52,37,4,12.33,9.52,146,13,48.67,30.95,28,10,9.33,23.81,3,3,1,7.14,68,5,22.67,11.9,1,1,0.33,2.38,25,2,8.33,4.76,63,16,21,38.1,182,12,60.67,28.57,28,10,9.33,23.81,89,16,29.67,38.1,300,42,4,3,1.33,7.14,7,2,2.33,4.76,5.91
2008201,"NLA06608-1208",2007,1,"7/12/2007","PLAINS","PLNLOW","SPL",35,1,11.67,3.85,16,4,5.33,15.38,31.82,63.64,81.82,23,9,7.67,34.62,216,7,72,26.92,9,3,3,11.54,1,1,0.33,3.85,0,0,0,0,56,7,18.67,26.92,35,1,11.67,3.85,31,10,10.33,38.46,62.19,80.21,85.51,3,1,1,3.85,11,4,3.67,15.38,4,2,1.33,7.69,39,12,13,46.15,0,0,0,0,1.6,0,0,0,0,4,2,1.33,7.69,206,4,68.67,15.38,255,9,85,34.62,13,7,4.33,26.92,7,2,2.33,7.69,10,2,3.33,7.69,4.35,1,1,0.33,3.85,0,0,0,0,37,13,12.33,50,205,3,68.33,11.54,45,5,15,19.23,65,12,21.67,46.15,200,9,66.67,34.62,2,2,0.67,7.69,0,0,0,0,0,0,0,0,0,0,0,0,13,7,4.33,26.92,87,10,29,38.46,200,9,66.67,34.62,261,14,87,53.85,300,26,1,1,0.33,3.85,6,1,2,3.85,7.65
2008202,"NLA06608-1208",2007,2,"7/25/2007","PLAINS","PLNLOW","SPL",124,1,41.33,4.76,91,7,30.33,33.33,23.53,58.82,88.24,34,8,11.33,38.1,46,5,15.33,23.81,7,2,2.33,9.52,14,2,4.67,9.52,0,0,0,0,223,9,74.33,42.86,124,1,41.33,4.76,38,9,12.67,42.86,47.33,71.37,80.15,18,2,6,9.52,26,3,8.67,14.29,18,2,6,9.52,41,9,13.67,42.86,0,0,0,0,1.97,6,1,2,4.76,2,1,0.67,4.76,36,3,12,14.29,236,9,78.67,42.86,26,7,8.67,33.33,8,1,2.67,4.76,71,3,23.67,14.29,0,0,0,0,0,0,0,0,0,31,8,10.33,38.1,36,3,12,14.29,132,2,44,9.52,160,8,53.33,38.1,117,7,39,33.33,0,0,0,0,6,1,2,4.76,0,0,0,0,6,1,2,4.76,20,6,6.67,28.57,157,7,52.33,33.33,117,7,39,33.33,253,11,84.33,52.38,300,21,0,0,0,0,71,3,23.67,14.29,7.52
2008203,"NLA06608-1209",2007,1,"8/15/2007","EHIGH","EHIGH","NAP",13,1,4.33,2,20,6,6.67,12,34.26,56.48,71.3,109,19,36.33,38,90,10,30,20,102,13,34,26,55,4,18.33,8,1,1,0.33,2,181,25,60.33,50,14,2,4.67,4,110,20,36.67,40,13.86,32.96,43.82,12,4,4,8,64,12,21.33,24,48,11,16,22,150,23,50,46,0,0,0,0,3.25,27,5,9,10,7,4,2.33,8,19,3,6.33,6,91,17,30.33,34,127,21,42.33,42,16,1,5.33,2,43,7,14.33,14,14.68,16,5,5.33,10,0,0,0,0,56,14,18.67,28,70,7,23.33,14,31,7,10.33,14,73,18,24.33,36,48,12,16,24,5,3,1.67,6,60,3,20,6,0,0,0,0,53,10,17.67,20,74,11,24.67,22,110,15,36.67,30,48,12,16,24,108,20,36,40,300,50,36,7,12,14,35,6,11.67,12,5.57
2008204,"NLA06608-1210",2007,1,"8/15/2007","PLAINS","PLNLOW","NPL",214,1,71.33,11.11,1,1,0.33,11.11,60,100,100,5,3,1.67,33.33,76,2,25.33,22.22,2,1,0.67,11.11,0,0,0,0,0,0,0,0,224,4,74.67,44.44,214,1,71.33,11.11,5,3,1.67,33.33,72.54,96.95,98.31,0,0,0,0,76,2,25.33,22.22,7,1,2.33,11.11,7,1,2.33,11.11,0,0,0,0,0.78,0,0,0,0,5,3,1.67,33.33,0,0,0,0,219,4,73,44.44,7,1,2.33,11.11,69,1,23,11.11,0,0,0,0,80,4,2,1.33,22.22,0,0,0,0,76,5,25.33,55.56,0,0,0,0,218,3,72.67,33.33,217,3,72.33,33.33,6,4,2,44.44,3,2,1,22.22,0,0,0,0,0,0,0,0,5,0,1.67,0,2,1,0.67,11.11,287,4,95.67,44.44,6,4,2,44.44,293,8,97.67,88.89,300,9,7,1,2.33,11.11,0,0,0,0,7.52
2008207,"NLA06608-1217",2007,1,"7/24/2007","WMTNS","WMTNS","WMT",2,1,0.67,2.86,35,9,11.67,25.71,35.59,66.1,79.66,121,16,40.33,45.71,96,9,32,25.71,86,4,28.67,11.43,31,3,10.33,8.57,0,0,0,0,149,15,49.67,42.86,2,1,0.67,2.86,125,18,41.67,51.43,22.18,47.64,61.45,62,2,20.67,5.71,76,4,25.33,11.43,65,3,21.67,8.57,180,15,60,42.86,0,0,0,0,2.73,24,1,8,2.86,24,4,8,11.43,22,4,7.33,11.43,97,12,32.33,34.29,91,10,30.33,28.57,11,1,3.67,2.86,49,3,16.33,8.57,8.26,10,3,3.33,8.57,0,0,0,0,63,15,21,42.86,19,3,6.33,8.57,53,4,17.67,11.43,117,13,39,37.14,56,10,18.67,28.57,2,1,0.67,2.86,29,3,9.67,8.57,0,0,0,0,25,2,8.33,5.71,66,8,22,22.86,151,13,50.33,37.14,54,9,18,25.71,94,17,31.33,48.57,300,35,3,1,1,2.86,48,2,16,5.71,6.23
2008208,"NLA06608-1219",2007,1,"8/20/2007","PLAINS","PLNLOW","NPL",12,2,42.86,22.22,0,0,0,0,100,100,100,1,1,3.57,11.11,7,2,25,22.22,1,1,3.57,11.11,0,0,0,0,0,0,0,0,15,4,53.57,44.44,12,2,42.86,22.22,1,1,3.57,11.11,35.71,67.86,82.14,2,1,7.14,11.11,12,4,42.86,44.44,6,3,21.43,33.33,8,4,28.57,44.44,0,0,0,0,1.86,0,0,0,0,2,1,7.14,11.11,1,1,3.57,11.11,15,4,53.57,44.44,6,3,21.43,33.33,6,1,21.43,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,28.57,22.22,4,2,14.29,22.22,13,3,46.43,33.33,18,5,64.29,55.56,3,2,10.71,22.22,2,1,7.14,11.11,0,0,0,0,0,0,0,0,4,2,14.29,22.22,2,1,7.14,11.11,19,4,67.86,44.44,3,2,10.71,22.22,20,5,71.43,55.56,28,9,4,2,14.29,22.22,0,0,0,0,6.85
